"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ITGR","Integer Holdings Corporation","44.25","$1.4B","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/itgr",
"IART","Integra LifeSciences Holdings Corporation","52.26","$4.1B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/iart",
"IDTI","Integrated Device Technology, Inc.","29.2","$3.86B","1984","Technology","Semiconductors","https://www.nasdaq.com/symbol/idti",
"IMTE","Integrated Media Technology Limited","5","$13.22M","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/imte",
"INTC","Intel Corporation","45.56","$213.22B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/intc",
"NTLA","Intellia Therapeutics, Inc.","25.03","$903.23M","2016","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/ntla",
"IDN","Intellicheck, Inc.","2.56","$38.37M","1999","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/idn",
"INS","Intelligent Systems Corporation","4.7","$41.26M","1992","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ins",
"IPCI","Intellipharmaceutics International Inc.","0.6982","$24.23M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ipci",
"I","Intelsat S.A.","3.5","$416.5M","2013","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/i",
"IPAR","Inter Parfums, Inc.","45.55","$1.42B","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/ipar",
"IBKR","Interactive Brokers Group, Inc.","67.37","$27.74B","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ibkr",
"ICPT","Intercept Pharmaceuticals, Inc.","61.16","$1.54B","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/icpt",
"ICE","Intercontinental Exchange Inc.","71.73","$41.77B","2005","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ice",
"IHG","Intercontinental Hotels Group","65.9","$12.52B","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/ihg",
"IDCC","InterDigital, Inc.","79.35","$2.75B","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/idcc",
"TILE","Interface, Inc.","23.7","$1.43B","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/tile",
"LINK","Interlink Electronics, Inc.","5.1","$37.42M","n/a","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/link",
"IMI","Intermolecular, Inc.","1.38","$68.39M","2011","Technology","Semiconductors","https://www.nasdaq.com/symbol/imi",
"INAP","Internap Corporation","12.64","$65.87M","1999","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/inap",
"IFF","Internationa Flavors & Fragrances, Inc.","141.83","$11.2B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/iff",
"IBOC","International Bancshares Corporation","40.85","$2.7B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/iboc",
"IBM","International Business Machines Corporation","156.18","$144.59B","n/a","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/ibm",
"IGT","International Game Technology","27.19","$5.5B","2015","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/igt",
"IP","International Paper Company","58.94","$24.34B","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/ip",
"INSW","International Seaways, Inc.","16.78","$488.13M","2016","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/insw",
"ISCA","International Speedway Corporation","45.4","$2.01B","1996","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/isca",
"THM","International Tower Hill Mines Ltd","0.512","$83.15M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/thm",
"IGLD","Internet Gold Golden Lines Ltd.","7.4","$142.1M","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/igld",
"IIJI","Internet Initiative Japan, Inc.","10.45","$941.81M","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/iiji",
"IDXG","Interpace Diagnostics Group, Inc.","0.9505","$25.52M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/idxg",
"IPG","Interpublic Group of Companies, Inc. (The)","25.33","$9.84B","n/a","Technology","Advertising","https://www.nasdaq.com/symbol/ipg",
"XENT","Intersect ENT, Inc.","37.7","$1.11B","2014","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/xent",
"INTX","Intersections, Inc.","2.2","$53M","2004","Technology","EDP Services","https://www.nasdaq.com/symbol/intx",
"IPL^D","Interstate Power and Light Company","24.25","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ipl^d",
"INXN","InterXion Holding N.V.","58.03","$4.14B","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/inxn",
"INTT","inTest Corporation","7.85","$81.74M","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/intt",
"IVAC","Intevac, Inc.","6.2","$135.09M","1995","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/ivac",
"INTL","INTL FCStone Inc.","39.06","$736.07M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/intl",
"ITCI","Intra-Cellular Therapies Inc.","19.97","$1.09B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/itci",
"IPI","Intrepid Potash, Inc","3.59","$469.47M","2008","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/ipi",
